Tweet_created_at,likes_count,replies_count,retweets_count,username,name,birth_date,country_name,tweet_text,id,year
Fri Feb 16 04:30:48 +0000 2024,0,0,0,USER_00011,NAME_00011,,United States,@GatorKush963 Once you take the booster shots of the covid-19 vaccine you will definitely have AIDS,1.76E+18,2024
Fri Feb 16 04:31:58 +0000 2024,0,0,0,USER_00011,NAME_00011,,United States,@BillboardChris Take a few of those covid-19 vaccine booster shots and you will truly have AIDS and a lot of other nasty s***,1.76E+18,2024
Fri Feb 16 04:30:28 +0000 2024,0,0,0,USER_00011,NAME_00011,,United States,"@OwenBenjamin You can get AIDS from the booster shots COVID-19 vaccine...
Keep Boosting 💉💉💉",1.76E+18,2024
Sun Feb 11 13:51:12 +0000 2024,9,2,6,USER_00012,NAME_00012,,United States,"Great post and point! 
I'm wondering why we don't talk about this more:
Covid came from bats... we know that's a FN lie. We don't talk much about the commonalities covid has to another killer disease, AIDS. 
We were told AIDS came from monkeys. 
Now the ""covid' vaccine is being accused of causing ""Vaids"" which is just Aids via 'V'accine. 
I think it's tough to link the 2 if you aren't old enough to remember the 80's but they did this to us before. 
I'll assume AIDS came from their demon lab as well.",1.76E+18,2024
Thu Feb 15 20:43:34 +0000 2024,1,1,0,USER_00013,NAME_00013,,,"𝙄𝙛 there’s a God judging us when we leave this earthly plane: is a man found less responsible for covid, measles &amp; aids deaths due to his reckless spreading of misinfo about vaccines &amp; antiretroviral therapies, as he would be for murdering them by putting a gun to their heads? https://t.co/x0VzHo0Wb1",1.76E+18,2024
Sat Feb 10 14:05:39 +0000 2024,3,0,1,USER_00014,NAME_00014,,United States,Fauci spent 30 years working on AIDS with no vaccine.  Made $Millions$ from Covid &amp; retired on the biggest Government pension.,1.76E+18,2024
Wed Feb 14 21:15:38 +0000 2024,0,3,0,USER_00015,NAME_00015,,United States,@krebiozen @Humans_R_Free @crabb_vicki @FrankDElia7 @Monstercoyliar @FUDyou2 @ToBornin @NewSeasonsSpa @vstefans @ktibus @Awithonelison @SkepticalMutant @mcfunny @chezronify @cappsie @gavleeham @dann58638436 @TheCrystalBrian @iXeno @TMGFlorida @handmadekathy @ReneeBa41879905 @wjack76995 @TheFrankmanMN @Augusti03401363 @ianfmusgrave @TruthTwt @natedoromal @jayjoseph22 @rightwingblack2 @IainMulady @doritmi @JCDeardeuff @Izzitreally2 @Jccalmond2 @TweetOfSteiner @BlueLionBlog @thisisnothappen @Blackcatprowl3 @isa_picard @HawkInATX @VVDeingott @foofdawg @4thEchelon22 @TinFoilAwards @F250Roush @Juanita87722370 @MsTrixter @Kathmarval Yes they admitted the similarities of long covid to AIDS. Because long covid is vaccine induced auto immune disorder.,8.52E+17,2024
Tue Feb 13 02:04:24 +0000 2024,0,0,0,USER_00016,NAME_00016,,,"I have been reflecting on how I sailed during the aids epidemic by only allowing people to take AZT. Similar to my vaccine plan for Covid. I realized I failed, because I’m a Babylonian, I love money, power, and influence more than the truth !",1.76E+18,2024
Sun Feb 11 08:04:04 +0000 2024,8,6,1,USER_00017,NAME_00017,,West Country UK,"IF YOU WATCH ONE VIDEO ON VACCINES IT SHOULD BE THIS ONE

The leading virologist in the United Kingdom

The man who made a world changing link between HIV &amp; AIDS

#Vaccine #vaccineinjuries #VaccineDeaths #VaccineSideEffects #excessdeaths #COVIDVACCINE 

https://t.co/gI32qQC8Ab",1.76E+18,2024
Fri Feb 16 04:15:27 +0000 2024,17,0,1,USER_00018,NAME_00018,,United States,"@alifeofinsanity @PrezLives2022 I’ve had 6 vaccine and boosters. No red band-aids. Not dead yet. No bad symptoms from injection other than a sore arm. Did get COVID 3/23 for a day with no long term effects. 

The one personal death was a HS friend who refused. Dead 12/21 within days.",1.76E+18,2024
Thu Feb 15 09:56:30 +0000 2024,2,1,0,USER_00019,NAME_00019,,United States,"It's clear that HIV causes AIDS.

It's clear that Hepatitis B &amp; C viruses cause forms of Hepatitis.

SARS-CoV-2 causes COVID-19.

Antiviral drugs &amp; vaccines save lives.

Denying the truth about antivirals and vaccines kills people.",1.76E+18,2024
Wed Feb 14 21:20:10 +0000 2024,0,0,0,USER_00020,NAME_00020,,,"Was HIV and AIDS manmade?
Was #covid just flu with a different name?
Was the covid vaccine part of a depopulation (genocide) agenda?

How much longer are we going to allow psychopaths who despise us to continue in positions of leadership?

#CrimesAgainstHumanity #Plandemic",1.76E+18,2024
Tue Feb 13 03:35:48 +0000 2024,1,1,0,USER_00021,NAME_00021,,United States,"HIV/AIDS research has gone nowhere for decades. No vaccine, one failed poisonous drug after another. Epidemiological failure. 

Those same clowns headed up COVID-19 solutions.",1.76E+18,2024
Mon Feb 12 01:04:16 +0000 2024,1,0,0,USER_00022,NAME_00022,,,"They are now trying to push the narrative that covid causes aids.

https://t.co/4QZ38YOqVv

But this recording says they added the aids virus to the covid vaccine.

The first one helps me believe the second one more.",1.76E+18,2024
Thu Feb 15 15:03:22 +0000 2024,3,0,0,USER_00023,NAME_00023,,United States,"HIV/AIDS denialism again? How many denialisms can one fight simultaneously? COVID denialism, Vaccine denialism, common sense denialism…….🤯",1.76E+18,2024
Wed Feb 07 07:48:30 +0000 2024,9,2,2,USER_00024,NAME_00024,,,"GET  TESTED 

“Fauci (face of COVID-19 vaccine) is best-known for his work during the HIV/AIDS crisis in 1981, when it began wreaking havoc in the gay community after Fauci’s Hep B Vaccine Human Trial in San Francisco.”

“Fauci stumbled upon 2 Hepatitis B virus studies from 1978-1979.
One In New York, the other in San Francisco, that had collected blood samples from gay men. Back then, people with a high-risk of catching Hepatitis B turned out be high-risk for HIV.”",1.76E+18,2024
Thu Feb 15 01:00:22 +0000 2024,15,2,2,USER_00025,NAME_00025,,United States,"It's no mystery why people who are into anti-vaccine nonsense are also into AIDS denialism and AIDS trutherism and covid trutherism and trans trutherism and, and, and...",1.76E+18,2024
Thu Feb 15 19:51:06 +0000 2024,2,0,1,USER_00026,NAME_00026,,,"@CubeRockRunners @Rolifornia You can also thank this black lady cells that are used and was used in COVID vaccines, aids, cancer her family just won lawsuit against big pharmaceutical companies for Henrietta stolen cancer cells taken without her permission so they allowed her to die and watch her cancer https://t.co/xSKBMAaR8R",1.76E+18,2024
Fri Feb 16 04:22:47 +0000 2024,0,0,0,USER_00027,NAME_00027,2004,,"Vaccines 100% work, I had all mine and I did however still get covid a few times yet the vaccine helped mellow it and basically I was just stuffy nosed at the worst, get your vaccs yall they don’t cause autism or aids",1.76E+18,2024
Thu Feb 15 13:58:37 +0000 2024,9,6,0,USER_00028,NAME_00028,,,"AIDS is short for Acquired ImmunoDeficiency Syndrome. VAIDS is short for Vaccine Acquired ImmunoDeficiency Syndrome. 

The only issue with this is that the COVID-19 vaccine, is no vaccine. 

It is at its best a gene therapeutic serum with a high risk of severe adverse reactions when injected into the human body. 

I get that you have no clue, Jimmy, but real people into the millions have died due to injecting this serum. 

You should be ashamed of yourself for spreading misinformation like this. Instead of acting like a disillusioned puppet echoing false information, you should research the truth. 

Here is a peer-reviewed study you can start with, just like us who conduct real research.
 https://t.co/FU6xLOlItU",1.76E+18,2024
Thu Feb 15 12:28:36 +0000 2024,0,0,0,USER_00029,NAME_00029,,,"“COVID-19 was good, it was a problem but also an opportunity, we can now exploit the pathogenic economy. We did it with AIDS by making our own ARVs. Now we are doing research on vaccines for humans, therapeutics, diagnostics etc and have created money &amp; jobs""- President Museveni https://t.co/ngVc4PkdIM",1.76E+18,2024
Thu Feb 15 15:38:51 +0000 2024,0,0,0,USER_00030,NAME_00030,,,Yamey is right for once. COVID vaccine skepticism turned me into an AIDS truther.,1.76E+18,2024
Thu Feb 15 19:56:55 +0000 2024,0,0,0,USER_00031,NAME_00031,,United States,"AIDS, Covid vaccine, and much more - people believe what they feel comfortable with.",1.76E+18,2024
Thu Feb 15 03:47:12 +0000 2024,0,1,0,USER_00032,NAME_00032,,Australia,@ChiariPaul @senatorbabet @ayrestim What researchers? This is bullshit. COVID is basically airborne AIDS. It’s COVID infections doing the damage. The rate of vaccine injury for the COVID vax is the same as for any other vax (incredibly low),1.76E+18,2024
Thu Feb 15 22:32:34 +0000 2024,0,0,0,USER_00033,NAME_00033,,,"Rogan is pretty open about his use of steriods, testosterone therapy &amp; other things, but some how he sees that as different from AIDS &amp; COVID vaccines and treatment? interesting",1.76E+18,2024
Thu Feb 15 05:26:31 +0000 2024,0,0,0,USER_00034,NAME_00034,,,Cancer AIDS Skyrocket After Covid 19 Vaccine CDC Freemasons Lie FBI Domestic Terrorist Threat To USA https://t.co/UiQcGYbONT,1.76E+18,2024
Fri Feb 09 14:49:48 +0000 2024,0,0,0,USER_00035,NAME_00035,,,"NOT every one... BUT NO VACCINE.. wow...how many people have died of aids... MORE than COVID and NO VACCINE
OR conspiracy that the Covid vaccine destroys the immune system and and and... yes.. GET  IT?????",1.76E+18,2024
Thu Feb 15 09:32:21 +0000 2024,0,1,0,USER_00036,NAME_00036,,,"@RagToo @THTorguk Pure strain HIV might finally be in decline, AIDS and VAIDS are about to skyrocket though.

CoVID and the ""vaccine"" that were developed both contain HIV elements because they are bio weapons released upon the unsuspecting public of the world.",1.76E+18,2024
Wed Feb 14 21:28:38 +0000 2024,1,0,0,USER_00037,NAME_00037,,United States,"@aspiringpeasant AIDS is caused by the Covid vaccine!  Pass it on.

Who is this guy, anyway?  Not familiar.",1.76E+18,2024
Wed Feb 14 20:04:27 +0000 2024,1,0,0,USER_00038,NAME_00038,,,"Did anyone catch the Pfizer Super Bowl commercial? Disgraceful! All the “science” and influential discoveries/people to help treat the turbo cancers Covid vaccines have created. All with a catchy Queen song! Freddy Mercury dies from AIDS, and their vaccines create VAIDS! Ironic?",1.76E+18,2024
Thu Feb 15 15:10:25 +0000 2024,1,0,0,USER_00039,NAME_00039,,United States,"You ever wondered why the covid vaccine was made and mass produced so fast, but not for AIDs, herpes, cancer, or even the common cold?",1.76E+18,2024
Mon Feb 12 16:44:00 +0000 2024,3,0,1,USER_00040,NAME_00040,,United States,@hstoorg @drdave1999 That was for flu and the latest Covid vaccine to educate the public you can get them both at the same time. 2 band aids!,1.76E+18,2024
Mon Feb 12 21:33:33 +0000 2024,0,1,0,USER_00041,NAME_00041,,,"@Penny_FL13 ""Sherri Tenpenny recently proclaimed that recipients of the COVID-19 vaccine will develop an AIDS-like illness sometime in 2022""

Since we're using VAERs xD",1.61E+18,2024
Wed Feb 14 16:13:18 +0000 2024,0,0,0,USER_00042,NAME_00042,,,"I love it when people who have no clue think they have something to add to the conversation.

HIV (human immunodeficiency virus) is not the only way you get AIDS.

AIDS stands for acquired immunodeficiency syndrome,
Covid vaccine can cause VAIDS vaccine-acquired immune deficiency syndrome.

https://t.co/JIcPbh6F2W",1.76E+18,2024
Fri Feb 09 13:11:18 +0000 2024,0,0,0,USER_00043,NAME_00043,,United States,It's funny how the world was able to find vaccine for COVID-19 within months and force people to take it  but can't find vaccine for HIV AIDS even after years it's insane. Sorry for those who took the jab 💔,1.76E+18,2024
Thu Feb 08 18:16:21 +0000 2024,6,0,0,USER_00044,NAME_00044,,,"He can tell us how that AIDS vaccine worked out. Er, I mean the COVID vaccine. Um…never mind. He can teach people how to fail up.",1.76E+18,2024
Thu Feb 15 00:12:00 +0000 2024,0,0,0,USER_00045,NAME_00045,,,"@thebadstats How's that AIDS vaccine coming along?  It should be ready any day now. 

Lucky covid got a vaccine in a few months.  AIDS has had to wait years for their vaccine. 🤔",1.76E+18,2024
Wed Feb 14 03:34:45 +0000 2024,6,1,1,USER_00046,NAME_00046,,United States,"@BlandyFisher Does this help? Let me walk you through this. Vaccines do not fully prevent Covid, and it’s foolish to keep claiming they do when the likely end point is widespread immune dysfunction and AIDS defining illnesses in HIV negative patients, such as reactivated TB and fungal infx. /1 https://t.co/86uO8iz1lj",1.76E+18,2024
Tue Feb 13 11:54:55 +0000 2024,0,0,0,USER_00047,NAME_00047,,United States,"Experts are raising the alarm over an AIDS-like illness that is rapidly spreading among people who have received Covid mRNA injections.

The devastating phenomenon has led to new calls for President Joe Biden’s administration to finally pull the vaccines from public use.

https://t.co/09JMgiGf5q",1.76E+18,2024
Thu Feb 15 03:44:52 +0000 2024,7,0,1,USER_00048,NAME_00048,,SE Asia,"@Wood_House76 I was late to the party &amp; only started investigating vaccines in 2020. My biggest disappointment since intersecting with the MFM was the glacial speed/refusal to look beyond COVID. Polio, AIDS, MMR, Flu. It's all there &amp; only takes a few weeks reading to conclude they're suspect.",1.76E+18,2024
Fri Feb 09 04:11:44 +0000 2024,4,1,0,USER_00049,NAME_00049,,,@drsimonegold Idk kinda feel like the real issue to be addressing is Long Covid as vaccine-induced cancer isn't real and you lot already tried vaccine-induced AIDS,1.76E+18,2024
Wed Feb 08 19:07:49 +0000 2023,2565,65,962,USER_00050,NAME_00050,,,"@RobertKennedyJr .@RepNancyMace said today in her testimony that she regrets getting the COVID vaccine.

She now has tremors, heart pain, and asthma. All new health issues she fears will never go away from the COVID vaccine.

 https://t.co/y42YSKG9s4",1.62E+18,2023
Wed Feb 15 16:23:01 +0000 2023,251,118,50,USER_00050,NAME_00050,,,"A new study says getting the COVID vaccine can now protect people from getting diabetes. 😹

“Failing to receive the COVID-19 vaccine could put patients at higher risk of developing Type 2 diabetes” https://t.co/mKIKkauP1Y",1.63E+18,2023
Wed Feb 08 17:11:30 +0000 2023,1580,67,687,USER_00051,NAME_00051,,,"Vaccine-injured @RepNancyMace grills Vijaya Gadde for censoring world class scientists @MartinKulldorff of Harvard and @DrJBhattacharya of Stanford. 

Rep Mace suffers from chest pains and asthma from the injuries of covid vaccine. 

 https://t.co/XIKYDp56uq",1.62E+18,2023
Tue Sep 05 08:17:08 +0000 2023,139,3,29,USER_00052,NAME_00052,,United Kingdom,"@kallmemeg What about those of us who aren’t eligible for the booster?

It’s been 21 months now since I had a Covid booster.

I have asthma &amp; am eligible for the flu booster jab each year, so why can’t I get a Covid jab too?

What’s the point of a ‘vaccine-only’ strategy with no vaccines??! https://t.co/hLB6jQEoPj",1.70E+18,2023
Wed Feb 14 08:19:41 +0000 2024,6,0,1,USER_00052,NAME_00052,,United Kingdom,"@ABridgen Yes, excess deaths in younger people are up.

But most younger people in the UK have not had a Covid jab for over 2 years now. They’ve not been eligible.

It’s not the vaccine, it’s Covid!

This is the official CDC data on risk of heart complications for Covid itself vs the jab: https://t.co/LdLZpcy4nL",1.75E+18,2024
Thu Feb 09 01:53:25 +0000 2023,5577,154,868,USER_00053,NAME_00053,,United States,"Sadden to hear Congresswoman Nancy Mace now struggles with heart issues, tremors, and asthma after getting the Covid vaccine.

No one deserves this.

Accountability MUST come.",1.62E+18,2023
Sat Nov 04 18:27:58 +0000 2023,238,24,146,USER_00054,NAME_00054,,Canada,"44 year old Jamie-Lee Emes died in her sleep Oct.16, 2023.

Advocate for Autism &amp; Down Syndrome Societies 

Had her toddler COVID-19 mRNA Vaccinated

""I got my vaccines today. Doctor says my asthma is back. He said COVID brought it back""

No words.

#DiedSuddenly #cdnpoli #ableg https://t.co/xyL0ldlVw1",1.72E+18,2023
Tue Feb 13 22:57:18 +0000 2024,704,32,414,USER_00054,NAME_00054,,Canada,"UK - 19 year old Carl Scott complained of back pains.

He was diagnosed with Alveolar Rhabdomyosarcoma that ""spread all over his body"" &amp; died in Sep.2022

Diagnosis to death: 3 weeks

Ddx: COVID-19 mRNA Vaccine Induced Turbo Cancer

#DiedSuddenly #cdnpoli #ableg #Pfizer #Moderna https://t.co/2M1Xz3Bjtq",1.76E+18,2024
Thu Feb 08 04:20:31 +0000 2024,520,44,292,USER_00054,NAME_00054,,Canada,"Tulsa, OK - 26 year old firefighter Harrison Moseby died on Jan.25, 2024.

He was diagnosed with sarcoma in March 2022, which led to amputations of his arm, shoulder, 2 ribs and clavicle.

Ddx: COVID-19 mRNA Vaccine Induced Turbo Cancer

#DiedSuddenly #cdnpoli #ableg #Pfizer https://t.co/hcIfifQFlb",1.76E+18,2024
Sun Feb 11 10:28:14 +0000 2024,1384,45,829,USER_00054,NAME_00054,,Canada,"NEW ARTICLE: RENAL TURBO CANCER - Young age at diagnosis, Stage 4 at presentation, aggressive recurrences, poor response to treatment and more, in the COVID-19 mRNA Vaccinated - 25 Tragic Cases

Pfizer & Moderna COVID-19 mRNA Vaccines cause Turbo Cancer, this is now well documented and described by competent doctors around the world.

I have noticed a rise in very aggressive KIDNEY cancers in young COVID-19 Vaccinated Individuals.

As with most Turbo Cancers, they present at a late Stage 3 or 4, don’t seem to respond to conventional treatments including new immunotherapy, and have a very poor prognosis.

It is very possible that RENAL CANCER will be in the Top 10 Turbo Cancers post COVID-19 mRNA vaccination.

I present 25 cases with examples such as:

July 2023 - Duluth, MN - 17 year old Shimia Nord started experiencing intense back pain in late 2022. By July 2023 she could barely stand and would throw up constantly. She was diagnosed with Stage 3 Renal Cell Carcinoma that rapidly progressed to Stage 4 and metastasized to the lungs. “This rapid growth has let us know the cancer is aggressive”

Feb.6, 2024 - Kansas City, MO - Jill Onyshkevich had kidney cancer in 1997, had her kidney removed and was in remission. In April 2023 her cancer returned as an aggressive Stage 4 Kidney cancer metastatic to the brain

Jan.29, 2024 - Carbondale, IL - 37 year old Mehmet Yilmaz, PhD at University of Wisconsin-Madison was diagnosed with Stage 4 Renal cancer in Nov.2023 and died 3 months later on Jan.29, 2024.

Jan.7, 2024 - Belgium - 33 year old Simon Vaernewyck, “The Voice” participant, died from incurable kidney cancer.

Dec.31, 2023 - Reno, NV - Rene Martinez was diagnosed with a golf ball sized tumor in his brain which originated from a grapefruit sized tumor in his kidney, Stage 4 Renal Cancer.

Dec.9, 2023 - San Francisco, CA - 30s year old Barak Haiby, who has a new baby, was just diagnosed with Stage 4 Renal Cancer spread to his lungs and brain.

Dec.5, 2023 - Columbus, OH - 19 year old Desmond Stuckey was just diagnosed with Stage 4 Renal Cancer metastatic to lungs and pelvis.

Nov.25, 2023 - Fort Collins, CO - Young mom Michelle Ann Austin was diagnosed with Stage 4 Renal Cancer in May 2023 and died 6 months later. “This aggressive disease has metastasized throughout her body to her lungs, abdomen, liver, pelvis, sacrum, femurs, and muscles”

Nov.21, 2023 - Yukon, OK - Chad Bristow was diagnosed with Stage 4 Renal Cancer with masses on his kidney, in his abdomen and metastases to the bones, after he fell off a ladder. “The results from a scan in early November have shown the cancer did not respond to the immunotherapy and radiation treatments as we hoped.”

Many of these Turbo Cancers of the Kidney are not responding to ANY treatments.

Looking forward to the Communist Notes @CommunityNotes to post fraudulent ""sources"" on how this is NOT happening, by mRNA con artists like Dr.David Gorski @gorskon, one of the most grossly incompetent Oncologists in the USA.

To my somnolent and sleeping Oncology colleagues: ""Please wake the hell up and start doing your job!""

Look at the ages of these cases. As young as 17.

Top 10 Turbo Cancers post Pfizer or Moderna mRNA Vaccination:
1.Lymphoma
2.Brain cancers (eg. glioblastoma)
3.Breast Cancer (mostly triple negative)
4.Colon Cancer
5.Lung Cancer
Leukemias
Sarcomas
Melanomas
Testicular/Ovarian
Kidney

Special thanks to @Tulloch1978 @toobaffled @resilient333 @Jonelesshomes for covering some of these tragic cases and doing the work that doctors are currently refusing or failing to do.

Article Link in photo to avoid shadowban, just re-type the URL in the 1st photo at the top, into your browser to access

@HighWireTalk @ClaytonMorris @VigilantFox @TheChiefNerd @LauraLynnTT @BLNewsMedia @OdessaOrlewicz @thevivafrei @TuckerCarlson @joerogan

#DiedSuddenly #cdnpoli #ableg",1.76E+18,2024
Tue Feb 13 12:08:26 +0000 2024,256,19,137,USER_00054,NAME_00054,,Canada,"NEW ARTICLE: LONG COVID Research = COVID-19 Vaccine Injury Research (except for Turbo Cancer!) - Eric Topol's Fraud (I dissect the largest review paper on Long COVID published in Jan.2023)

Dr.Eric Topol, funded with $282 million by NIH, was senior author on the largest Long COVID review publication that was a complete fraud.

2023 Jan (Eric Topol et al) - Long COVID: major findings, mechanisms and recommendations

Why is this paper a fraud?

It is a review of 210 Long COVID papers - none of them account for COVID-19 Vaccine status of the participants - a key omission that renders most of these papers null and void, and scientific frauds.

This review also ignores 3400+ peer-reviewed papers on the toxicity of the Spike protein to the human body. 

Topol does not recognize Spike protein injury or “spikeopathy”. Spike protein is mentioned only twice in the entire paper, and in no relation to pathogenesis of Long COVID.

Topol proposes these causes of Long COVID:

- persistent reservoirs of virus in tissues
- immune dysregulation
- reactivation of viruses like EBV, herpes
- microbiome dysfunction
- auto-immunity
- blood clotting with endothelial dysfunction
- dysfunctional CNS signaling

Except for the viral reservoirs, the rest are well known signs and symptoms of COVID-19 Vaccine injury. 

Big pharma's Long COVID fraud does not propose ANY plausible mechanisms of pathogenesis, beyond persistent viral reservoirs

That's why no one wants to treat those with ""Long COVID"" and they have no treatments to offer them beyond IVIG or beta blockers for POTS. You can't treat that which you don't understand.

Long COVID research is a fraudulent house of cards that relies ENTIRELY on ignoring COVID-19 Vaccine Injuries!

Every clinical manifestation of “Long COVID” in this paper is a well known COVID-19 Vaccine Injury.

Everything from myocarditis, blood clots, POTS, MCAS, autoimmune diseases, diabetes, ME/CFS, neurological injuries, tinnitus, vertigo, erectile dysfunction, menstrual irregularities, impaired sperm counts & motility, and more.

Interestingly, cancer is not mentioned once in this paper. That suggests to me that Turbo Cancers will ultimately not be blamed on Long COVID but will be blamed on something else.

HARVARD Oncologist Dr. Kimmie Ng already has a theory, in the Feb.6, 2024 story: “Cancer keeps coming for the young. Why?”:

“The main hypothesis is that some not-as-yet-identified environmental exposure is affecting individuals, starting in early life.” - Dr.Kimmie Ng MD MPH, Associate Chief Division of Gastrointestinal Oncology at Dana-Farber Cancer Institute

So they admit a tsunami of Turbo Cancers in the COVID-19 mRNA Vaccinated but it's due to a ""not-as-yet identified environmental exposure""??? 

Let me guess, Climate Change causes Turbo Cancer. They'll do it too.

That doesn't mean that Long COVID research belongs in the garbage. It has its value.

Best way to approach Long COVID papers is to replace the words ""Long COVID"" with ""COVID Vaccine Injury"" - and then there is some useful information that can be learned, such as:

Dogs can identify ""Long COVID"" patients from their sweat samples. Now that I didn't know!

All this and much more in my new article...

Article Link in photo to avoid shadowban, just re-type the URL in the 1st photo at the top, into your browser to access

@HighWireTalk @ClaytonMorris @VigilantFox
@TheChiefNerd @LauraLynnTT @BLNewsMedia
@OdessaOrlewicz @TuckerCarlson @joerogan

@twc_health

#DiedSuddenly #cdnpoli #ableg",1.76E+18,2024
