Tweet_created_at,username,name,tweet_text,replies_count,retweets_count,likes_count,country_name,id,year,birth_date
2021-02-06 13:19:31 Iran Standard Time,USER_00010,NAME_00010,@Username  Kidney and adrenal gland removal Brain surgery Metastatic cancer since 2013 2092 days of chemo or immunotherapy Newly diagnosed Type-1 Diabetic  What other body parts need to fail before I can sign up for the Covid-19 vaccine?,0,0,3,North America,1.36E+18,2021,
2021-02-04 15:38:45 Iran Standard Time,USER_00011,NAME_00011,"@Username Mr.Mayor, You must add to the eligibility of the Covid vaccine to chronic illness patients. I am at a greater risk of contracting the illness because I'm on an immunosuppressant. I have Lupus with Chronic Kidney Disease. If I get Covid, I die. I need the vaccine now!",0,0,0,North America,1.36E+18,2021,
2021-02-01 08:35:59 Iran Standard Time,USER_00011,NAME_00011,"@Username You need to make the chronically ill more of a priority. I have Lupus with Chronic Kidney Disease, I needed those vaccines before COVID existed. I'm not allowed out of my apartment as per doctors' orders.",0,0,0,North America,1.36E+18,2021,
2021-01-26 01:49:35 Iran Standard Time,USER_00012,NAME_00012,@Username While realizing the need for equity in vaccine distribution I can’t help but feel you have forgotten the impact of covid on those with kidney disease and severe co-morbidities.,0,0,0,North America,1.35E+18,2021,
2021-01-24 00:42:27 Iran Standard Time,USER_00013,NAME_00013,"@Username And think of the number of people who have had Covid survived it and it left them with physical and mental deficits. Heart damage, kidney damage, brain damage, physical limitations. Stay safe! Just a few more months till vaccine!🤔🐶🏡",0,1,13,North America,1.35E+18,2021,
2021-01-15 19:13:45 Iran Standard Time,USER_00014,NAME_00014,"I know the vaccine, masks, &amp; even covid has been politicized. I personally chose to get the vaccine because of the uncertainty of the effects of covid as well as prevention of long-term tissue damage to my lungs, heart, brain, &amp; kidneys.",1,0,0,North America,1.35E+18,2021,
2021-01-13 22:22:14 Iran Standard Time,USER_00015,NAME_00015,"MORE: Conditions as defined by CDC that put individuals at ages 16-64 at higher risk for COVID and now qualify for vaccine.  -Cancer -Chronic kidney disease -COPD  -Down Syndrome -Heart conditions, -Obesity  -Smoking -Type 2 diabetes  @Username",4,5,6,North America,1.35E+18,2021,
2021-01-10 04:00:47 Iran Standard Time,USER_00016,NAME_00016,"Hey friends - as many of you know, I have Crohn's Disease, an autoimmune disease of the GI tract.   On 12/30 I was diagnosed with IGA Nephropathy, an autoimmune disease of the kidneys.   Because of this my doctors no longer feel comfortable with me receiving the covid vaccine",1,0,25,North America,1.35E+18,2021,
2021-01-07 21:11:36 Iran Standard Time,USER_00017,NAME_00017,@Username What would his recommendation be for kidney transplant recipients (me) on receiving either of the Covid vaccines?,0,0,0,North America,1.35E+18,2021,
2021-09-28 19:04:08 Iran Standard Time,USER_00018,NAME_00018,"@Username I’m so sorry. I have an uncle that got Covid before the vaccine and while he survived, his kidneys were destroyed. Now he has to have dialysis for the rest of his life because drs. Worry about how another surgery would effect him 😕",0,0,1,North America,1.44E+18,2021,
2021-09-28 07:51:21 Iran Standard Time,USER_00019,NAME_00019,"My unvaccinated cousin went into the hospital on Friday due to complications from Covid, and today, went into kidney failure. Please get your fucking vaccine",0,1,2,North America,1.44E+18,2021,
2021-09-20 01:18:34 Iran Standard Time,USER_00020,NAME_00020,"@Username @Username Needle fear is the big reason not freedom of choice. The vaccine is no big deal. My buddy unvaxxed died after 30 days of torture, failing lungs and kidneys intubated and doped up. I am against mandates bit covid death is immense cruelty. He was 40.",0,0,0,North America,1.44E+18,2021,
2021-09-09 06:26:13 Iran Daylight Time,USER_00021,NAME_00021,"Get your VACCINE please to ✋COVID PANDEMIC. It's killing our CHILDREN. They r suffering, gasping for oxygen, lungs filled wth fluids, blood saturated wth the virus so its systematic, kidney failure, endocarditis. Masks and vaccine, I'm begging u. These r hard deaths to watch‼️  https://t.co/rbX1CT8iT7",0,0,1,North America,1.44E+18,2021,
2021-08-26 01:32:55 Iran Daylight Time,USER_00022,NAME_00022,"@Username @Username A provax, promask, DO gets my follow. Thank you for protecting your kids, my kids got the vaccine years ago. They're girls 22 &amp; 19. We're all fully vaxxed including covid. Me &amp; my youngest autistic, immunocompromised, I have kidney failure she has a SPEN tumour.",0,0,1,North America,1.43E+18,2021,
2021-08-21 23:38:18 Iran Daylight Time,USER_00023,NAME_00023,@Username @Username @Username @Username last remarks: this country is more about finding a quick pill to fix . like for heart disease and kidney disease and covid rather than actual prevention.. such as vaccines and healthy life habits.. it’s truly frustrating but that’s what i’m here to do is to treat and help educate,0,0,1,North America,1.43E+18,2021,
2021-08-16 07:53:47 Iran Daylight Time,USER_00024,NAME_00024,"@Username @Username @Username @Username It's new to humans. Even when things are approved, the final clinical trial, is when it's released to the public. What's concerning, is more people have blood clots &amp; kidney failure from OTC medicine than the covid vaccine. Pull your head out of your ass.  https://t.co/bYiljAZSiP",2,0,1,North America,1.43E+18,2021,
2021-08-11 23:27:41 Iran Daylight Time,USER_00025,NAME_00025,"@Username @Username REMEMBER When you get the Vaccine you’re not just saving your own life but the life of someone who’s immunologically compromised! Like those with CANCER, DIABETES, COPD, LUNG/KIDNEY DISEASE, RENAL FAILURE &amp; MANY MORE!   WE CAN ERADICATE COVID BUT WE NEED EVERYONES HELP TO DO IT!",0,0,1,North America,1.43E+18,2021,
2021-08-11 23:27:15 Iran Daylight Time,USER_00025,NAME_00025,"REMEMBER When you get the Vaccine you’re not just saving your own life but the life of someone who’s immunologically compromised! Like those with CANCER, DIABETES, COPD, LUNG/KIDNEY DISEASE, RENAL FAILURE &amp; MANY MORE!   WE CAN ERADICATE COVID BUT WE NEED EVERYONES HELP TO DO IT!",0,0,0,North America,1.43E+18,2021,
2021-08-06 05:20:01 Iran Daylight Time,USER_00026,NAME_00026,"Because I know people PERSONALLY who died from covid, others who were near death’s door, and still two others who lost kidneys to covid. But I know of NO ONE who got any more than mildly ill for a day or so from the vaccine.",9,4,57,North America,1.42E+18,2021,
2021-08-03 10:25:52 Iran Daylight Time,USER_00027,NAME_00027,"@Username Fully vaccinated and so are my children. My dad died of Covid (while hospitalized for kidneys, not Covid) in January. He would have gotten the vaccine. He was a retired nursed who taught me to believe in science. He was waiting for his turn.",1,0,3,North America,1.42E+18,2021,
2021-07-31 19:30:50 Iran Daylight Time,USER_00028,NAME_00028,"@Username @Username Those are called breakthrough cases. You get COVID-19, but the vast majority don't get hospitalized or die. I have no kidney function. Covid-19 w/o vaccine would be a death sentence for me.  Over 98%of people in the hospital and 99.3%of the people who die now are all unvaccinated  https://t.co/0nmcZtcz3r",0,0,0,North America,1.42E+18,2021,
2021-07-30 09:08:37 Iran Daylight Time,USER_00028,NAME_00028,"@Username Nope. I'm immunocompromised. I have relatives I can't see, because I have kidney failure.  They refuse to vaccinate.  A Covid-19 diagnosis could mean death for me. I took a chance and got the vaccine, even though I had a higher possibility of side effects. Please retweet.  https://t.co/8rZ4QvT1NR",0,0,1,North America,1.42E+18,2021,
2021-07-29 18:11:12 Iran Daylight Time,USER_00029,NAME_00029,"400 people 18 &amp; under have died of covid-19 in the US making it more lethal than the flu…risk of an inflammatory syndrome can affect lungs, heart &amp; kidneys of children &amp; young adults…Any reasonable person who looks at the data would conclude the safer choice is get the vaccine",0,0,0,North America,1.42E+18,2021,
2021-07-26 09:09:48 Iran Daylight Time,USER_00030,NAME_00030,1 in 5 Patients on Kidney Dialysis Say No to COVID-19 Vaccine: Study  https://t.co/pScAGltuzU,0,0,0,North America,1.42E+18,2021,
2021-07-25 09:47:31 Iran Daylight Time,USER_00031,NAME_00031,"@Username @Username @Username Also, I could still catch Covid-19 and give it to my wife who is immuno-compromised because of a kidney transplant from 3 years ago. I don't want her catching Covid-19. She can't take the vaccine right now.",0,0,0,North America,1.42E+18,2021,
2021-06-24 04:26:12 Iran Daylight Time,USER_00032,NAME_00032,"A woman in her forties, with prior kidney issues, from my neighborhood has died of COVID-19. She had both vaccine shots, and was 14+ days after the second, as had all her family &amp; household. She caught COVID, and has died. I’ve continually been on the fence about the COVID-19",1,0,0,North America,1.41E+18,2021,
2021-06-10 15:49:22 Iran Daylight Time,USER_00033,NAME_00033,"@Username @Username @Username @Username @Username The same can be said for any new drug on the market, how do we know in 50 years it won’t impact the liver or kidneys? COVID vaccines have gone through all relevant clinical trials.",1,0,0,North America,1.40E+18,2021,
2021-06-10 04:43:07 Iran Daylight Time,USER_00022,NAME_00022,My first covid vaccine was on April 23rd. My appointment for my 2nd vaccine is the beginning of July. Our entire family has had their first vaccine. #ThisIsOurShot #WeCanDoThis #VaxWithMe Autistic Immunocompromised Kidney Failure @Username  #NewProfilePic  https://t.co/m4tU8DoCuh,0,0,2,North America,1.40E+18,2021,
2021-05-30 21:21:41 Iran Daylight Time,USER_00034,NAME_00034,"@Username It’s honestly hilarious too because the COVID vaccine is based off of the same mRNA concepts that they’re using to “cure” cancer. Cancer isn’t cured because of major kidney ethical concerns, but people would know that if they just read.",1,0,0,North America,1.40E+18,2021,
2022-01-02 17:58:36 Iran Standard Time,USER_00035,NAME_00035,"I just want to sleep. That's how I cope. Going back to work next week has me anxious. I am worried that I will get COVID and my one kidney won't handle it. This was supposed to be over by now!! Get your boosters/vaccine, wear your mask, and social distance. Come on people!!",1,0,2,North America,1.48E+18,2022,
2021-12-16 05:26:42 Iran Standard Time,USER_00022,NAME_00022,"@Username Meanwhile I've done flu, double covid vaccines, currently waiting to get the dtap tonight, will be getting peumonia &amp; shingles vaccines when I can. I have to wait for Covid booster till January. Frustrating but at least it's soon. Kidney failure so gotta protect myself",1,0,6,North America,1.47E+18,2021,
2021-12-09 01:41:29 Iran Standard Time,USER_00036,NAME_00036,"Today just got a lot better. This is currently the best chance @Username has at getting COVID antibodies, since the vaccine hasn't developed them.  (She's immunosuppressed due to a kidney transplant.)",4,0,15,North America,1.47E+18,2021,
2021-11-15 20:04:32 Iran Standard Time,USER_00037,NAME_00037,@Username Well once the price of a 3080 for 3k or a kidney comes down...yes. Covid killed  GPUs. They need a vaccine for GPUs,1,0,1,North America,1.46E+18,2021,
2021-11-10 20:20:42 Iran Standard Time,USER_00038,NAME_00038,@Username Please explain why 8 of my friends have died from the Pfizer vaccine that was tested on primate kidney cells while 12 others are on life support from severe Covid-19 infection after the jab. All 20 had survived Covid-19 last year prior to vaccination.,2,0,3,North America,1.46E+18,2021,
2021-11-10 16:05:36 Iran Standard Time,USER_00039,NAME_00039,@Username Covid vaccine would be the worse thing for her while she is sick with kidney disease. Her immune  https://t.co/sMdXBTll0u compromised. So the vaccine could kill her. Kidneys not working so she cannot process anything. Dammit,0,0,0,North America,1.46E+18,2021,
2021-10-24 18:51:25 Iran Standard Time,USER_00038,NAME_00038,@Username I'd also like to point out that Fauci also supported Pfizer's use of harvested primate kidney cells in the Covid-19 vaccine development stating that the cells are like human lung cells which real scientists says is false. That's why Pfizer is the worst vaccine.,0,0,1,North America,1.45E+18,2021,
2021-10-22 06:24:34 Iran Standard Time,USER_00040,NAME_00040,@Username @Username You could say that sentence about almost any illness (“if damage to the lungs/liver/kidneys/brain…”).  Myocarditis is usually caused by acute viral infection. Vast majority completely recover and live normal lives. Covid is far more likely to cause it than vaccine.,1,0,0,North America,1.45E+18,2021,
2021-10-17 05:19:46 Iran Standard Time,USER_00041,NAME_00041,"@Username @Username @Username @Username @Username @Username @Username @Username Guess what every medication is experimental. Hate to burst your bubble but there is no way to individualize every outcome. You are worried about the long term affects of vaccines but not covid when it damages the lungs, kidneys and heart.",0,0,0,North America,1.45E+18,2021,
2021-10-12 23:27:07 Iran Standard Time,USER_00042,NAME_00042,"@Username Decreased kidney function is not a risk factor in getting Covid-19. How do you know it wasn't caused by the vaccine? Where the long-term studies? Oh yes, they're in progress right now. How dare anyone make such a facetious remark like ""silver lining"".",0,0,0,North America,1.45E+18,2021,
2021-10-09 22:53:41 Iran Standard Time,USER_00043,NAME_00043,"@Username @Username Just like I don’t think kidney donations need to be total secrets, I didn’t keep it to myself that I’m in a Covid vaccine trial. But I haven’t felt a need to bring it up with people who def already know about it unless the conversation is specifically relevant.🤷🏻‍♀️",1,0,0,North America,1.45E+18,2021,
2021-10-08 21:36:57 Iran Standard Time,USER_00038,NAME_00038,Pfizer tested their Covid-19 vaccine on cloned primate kidney cells and begins protection degradation within a month of the second injection. Moderna used cloned human lung cells first and protection lasts longer. Which do you think is safer for children 12 and under?,0,2,3,North America,1.45E+18,2021,
2021-10-08 17:28:25 Iran Standard Time,USER_00044,NAME_00044,Colorado women will die because she won’t get vaccinated they denied her a life saving kidney transplant.  People are being sentenced to death over the Covid vaccine.  America isn’t free anymore it’s a fucking prison,0,3,6,North America,1.45E+18,2021,
2021-10-08 02:14:21 Iran Standard Time,USER_00045,NAME_00045,@Username I have 🤷🏼‍♂️ I just see kidneys in my timeline and I figure it’s either some gross sex thing or the covid vaccine is giving people extra kidneys which. Why the fuck not.,1,0,1,North America,1.45E+18,2021,
2021-10-08 01:36:53 Iran Standard Time,USER_00046,NAME_00046,📣 The American Association of Kidney Patients (AAKP) is conducting independent research related to COVID-19 and we are interested in your unique insights. @Username  💥Click here to participate:   https://t.co/tchQ5prspB  #COVID19 #vaccines #AAKP #kidneypatients,0,0,0,North America,1.45E+18,2021,
2021-10-07 20:43:35 Iran Standard Time,USER_00047,NAME_00047,"“You will be inactivated on the list for non-compliance by not receiving the COVID vaccine,” the letter states.  If Lutali continues to refuse to get a vaccine, “you will be removed from the kidney transplant list,”   https://t.co/HkTJN9uHmu",0,0,0,North America,1.45E+18,2021,
2021-10-07 17:12:29 Iran Standard Time,USER_00048,NAME_00048,Woman refused a life saving transplant surgery because of the jab. Thoughts?  Colorado Hospital Refuses Kidney Transplant to Woman Over COVID-19 Vaccine Refusal #vaccine #ethics #medicine    https://t.co/QtCqj71JQg  Download our app to read more at  https://t.co/yCOWSC0XLq,0,0,1,North America,1.45E+18,2021,
2021-10-07 05:12:02 Iran Standard Time,USER_00049,NAME_00049,"@Username @Username @Username Yes, I meant to be more specific. I do know that severe Covid can cause organ failure. I was more curious about the vaccine. In no way was there any indication that it was hard on the kidneys.",0,0,4,North America,1.45E+18,2021,
2021-10-07 04:34:59 Iran Standard Time,USER_00049,NAME_00049,@Username @Username How is Covid or the vaccine hard on the kidneys? I only ask because I donated my kidney to my son 2 months ago. We had both had Covid and both been vaccinated. This was certainly never mentioned as an issue at Mt. Sinai where we had the transplant.,6,1,13,North America,1.45E+18,2021,
2021-10-06 23:52:14 Iran Standard Time,USER_00050,NAME_00050,"@Username @Username @Username @Username The fetal cell lines being used to produce some of the potential COVID-19 vaccines are from two sources:                  HEK-293: A kidney cell line that was isolated from a fetus in 1973 (undisclosed origin, from either a spontaneous miscarriage or an elective abortion AND",0,0,0,North America,1.45E+18,2021,
2022-06-02 07:21:50 Iran Daylight Time,USER_00051,NAME_00051,"@Username The liver, kidneys, and vaccines against COVID, Meningitis, Hepatitis and Smallpox  https://t.co/BlydmUzyz8",0,0,1,North America,1.53E+18,2022,
2022-04-30 20:22:46 Iran Daylight Time,USER_00052,NAME_00052,"Paul Morrissey, MD Professor of Surgery, Warren Alpert Medical School at Brown University; Director, Division of Organ Transplantation, Rhode Island Hospital – Providence, RI @Username 2022 proves COVID vaccine dropped mortality for kidney tx patients  https://t.co/2yNnzR3jHk",0,5,10,North America,1.52E+18,2022,
2022-04-20 03:44:59 Iran Daylight Time,USER_00053,NAME_00053,Michigan Child Adopted From Ukraine Denied Kidney Transplant Over COVID Vaccine  https://t.co/cU15vO8POM,0,0,1,North America,1.52E+18,2022,
2022-04-20 02:46:20 Iran Daylight Time,USER_00054,NAME_00054,"Important piece about how saying vaccines don't work is wrong &amp; harming people. ""When COVID reporting casually lumps together all 'immunocompromised' patients, readers are left to think a fibromyalgia patient &amp; a kidney recipient face similar risks.""  https://t.co/82SA1uxfiU",0,0,1,North America,1.52E+18,2022,
2022-02-03 04:53:32 Iran Standard Time,USER_00055,NAME_00055,"Stop fighting fair. They aren't following their own rules forge that shit, why should you. . Don't give up.   Air Force vet who had COVID twice denied vital kidney transplant in NC over not getting vaccine, he says:  https://t.co/W3AlotUDYx",0,0,0,North America,1.49E+18,2022,
2022-01-31 10:03:40 Iran Standard Time,USER_00056,NAME_00056,North Carolina man who needs a kidney transplant refuses COVID vaccine  https://t.co/DTBoG2ufh7 @Username,0,0,0,North America,1.49E+18,2022,
2022-09-20 03:29:32 Iran Daylight Time,USER_00057,NAME_00057,@Username @Username @Username @Username @Username Covid is a derivative of SARS which has been studied for 20 years and there is a vaccine for it. How do you know about the thousands of people who had kidney failure because of it of the media isnt reporting it??,0,0,1,North America,1.57E+18,2022,
2022-08-29 17:10:35 Iran Daylight Time,USER_00058,NAME_00058,@Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username Also “death” is your only endpoint??  Long Covid is now shown to not discriminate by age .. what will be the long term consequences of this?  I have a 20 year old student in my lab with permanent kidney damage (contacted Covid before vaccines were available).,2,0,3,North America,1.56E+18,2022,
2021-04-30 07:15:42 Iran Daylight Time,USER_00059,NAME_00059,"My cousin is fighting for her life right now, both her and her husband contracted covid. She's on a ventiltor &amp; her kidneys are failing. Just get the damn vaccine.",1,0,0,North America,1.39E+18,2021,
2021-04-20 07:13:29 Iran Daylight Time,USER_00060,NAME_00060,"COVID Vaccines in Kidney Disease, Dialysis and Transplant    https://t.co/9JoPoAdh3J",0,11,27,North America,1.38E+18,2021,
2021-04-08 14:29:30 Iran Daylight Time,USER_00061,NAME_00061,"Prescription antiviral mouthwash reduced saliva viral load by 70% in those who were asymptomatic or had mild COVID-19 symptoms, reducing transmission  Severe kidney problems seen with COVID-19; second vaccine dose should not be delayed for cancer patients  https://t.co/satu9Dy7Zz",0,0,0,North America,1.38E+18,2021,
2022-11-27 08:30:07 Iran Standard Time,USER_00062,NAME_00062,"@Username I trust the science, but I also am a CM at a shelter. We still use masks and I’m being boosted again tomorrow. I got Covid before the vaccines were available and it damaged both my heart and Kidneys. Science tells us that vaccines prevent severe Covid. I’m sticking with both.",2,0,3,North America,1.60E+18,2022,
2022-11-26 18:29:52 Iran Standard Time,USER_00063,NAME_00063,"@Username @Username @Username I had a co-worker whose wife performed organ “autopsies” on deceased Covid patients early in the pandemic prior to ANY vaccines being available. She saw clotting in kidneys, lungs, brain…you name it, as a result of the virus! She was amazed how many ways it killed through clots!",1,1,22,North America,1.60E+18,2022,
2022-11-26 10:40:30 Iran Standard Time,USER_00064,NAME_00064,@Username @Username @Username COVID causes all manner of systemic issues.  People have been doing of everything from blood clots to aneurysms to kidney failure due to covid (pre vaccine so you can't blame that),0,0,0,North America,1.60E+18,2022,
2022-11-25 22:49:25 Iran Standard Time,USER_00065,NAME_00065,"@Username @Username are you going to help me with my two DVT’s, an SVT, Kidney function issues etc. I took the vaccine thinking it would keep me safe . I still got Covid and all the above. Nah, I’ll skip these shots, at best they don’t help, at worst they worsened everything I had.",0,0,0,North America,1.60E+18,2022,
2022-11-25 00:11:13 Iran Standard Time,USER_00066,NAME_00066,"@Username @Username @Username Very interesting 🤔 I'm 46 obese, diabetic, high blood pressure, couple other issues, 2 main Covid vaccines 2 boosters, sudden respiratory failure, 7 days on ventilator, kidney failure, came off vent an dialysis with no problems Doctors still wondering how I survived",0,0,0,North America,1.60E+18,2022,
2022-11-24 22:04:30 Iran Standard Time,USER_00067,NAME_00067,"@Username Was vaccines a money grabe. Let think for a second about that? If you had diabetes, kidneys desease, heart failure, etc and caught covid, welp your gonna have severe complications. Hense, 2 million people dead. If your young, strong no underlining diseases...your fine. I guess",0,0,0,North America,1.60E+18,2022,
2022-11-24 17:53:20 Iran Standard Time,USER_00068,NAME_00068,"A must watch! ""Glyphosate causes diabetes, autism, liver/kidney problems, pancreatic/thyroid/blood cancer""; Statins cause parkinsons, COVID vaccines ""toxic"", chemotherapy is poison - @Username researcher explains. Perhaps the best look into Seneff and her motives.",5,6,24,North America,1.60E+18,2022,
2022-11-24 04:50:48 Iran Standard Time,USER_00069,NAME_00069,"""Canney et al studied 1,105 patients who had stable glomerular kidney disease in 2020 ... then followed them after receiving ... COVID-19 vaccines."" ""...for the double vaccinated, there was more than a two-fold increase in progression of kidney disease.""  https://t.co/uYHZ2N4D5K",0,0,0,North America,1.60E+18,2022,
2022-11-24 03:00:25 Iran Standard Time,USER_00070,NAME_00070,"@Username I think you might be mixing up long covid. Long Covid can effect any organ in the body; heart, brain, kidney even for men, reproductive system. Nothing to do with the vaccine.   Cookers have gone wild on here with dangerous medical  conspiracies.  @Username",2,1,5,North America,1.60E+18,2022,
2022-11-23 23:56:37 Iran Standard Time,USER_00071,NAME_00071,"@Username @Username Connect the dots....more folks at younger ages that were perfectly healthy before 2020 are suddenly dropping dead from heart, liver, and kidney problems coming on suddenly days after getting the just one of the Covid vaccines....its more like that was the exact purpose of them.",0,0,1,North America,1.60E+18,2022,
2022-11-23 23:56:18 Iran Standard Time,USER_00071,NAME_00071,"@Username @Username Connect the dots....more folks at younger ages that were perfectly healthy before 2020 are suddenly dropping dead from heart, liver, and kidney problems coming on suddenly days after getting the just one of the Covid vaccines....its more like that was the exact purpose of them.",0,0,0,North America,1.60E+18,2022,
2022-11-22 07:09:32 Iran Standard Time,USER_00072,NAME_00072,@Username I got the vaccine 4 my family’s health. Then got Covid &amp; now my hair is “shedding” &amp; I’ve got something wrong with my liver &amp; kidneys! Multiple drs &amp; they can’t figure it out! Plus “adult onset eczema” 🤷‍♀️,13,1,16,North America,1.59E+18,2022,
2022-11-22 05:35:29 Iran Standard Time,USER_00073,NAME_00073,"@Username Vaccines don’t prevent Covid from spreading. You can still get covid, but are less likely to die, and you can still get LONG COVID which is organ damage to the heart, brain, lungs, kidneys, endothelial cells, etc. due to microclots.",1,0,1,North America,1.59E+18,2022,
2022-11-22 05:25:49 Iran Standard Time,USER_00074,NAME_00074,@Username In QLD Australia this is their policy. I need a kidney transplant and Surgeon gloated that I would not get one due to my stance on Covid vaccine. Basically a death sentence.,0,0,0,North America,1.59E+18,2022,
2022-11-20 22:24:27 Iran Standard Time,USER_00075,NAME_00075,"@Username Your free vaccine destroyed my wife’s kidneys and now needs dialysis 4 to 5 times a week. And my mother was vaccinated, had no underlying conditions and still died from Covid. I’ll make sure to tell everyone I care about to take it 👍",0,0,0,North America,1.59E+18,2022,
2022-11-03 03:08:04 Iran Standard Time,USER_00076,NAME_00076,"@Username My sister who has stage 3 kidney disease was advised strongly by her physician to get the COVID vaccine, now he tells her because she received the vaccine, it has caused her health and her arthritis to worsen. She is so angry and I am worried.",0,0,0,North America,1.59E+18,2022,
2022-12-28 16:53:23 Iran Standard Time,USER_00077,NAME_00077,"@Username @Username @Username UKR/ NATO/USA/ EU support UKR TORTURES, MURDERS Of POWs. USA should send ZELLENSKYY Covid vaccines. Millions are suffering incurable neurological, heart, liver, kidney, brain, blood disorders, or sudden adult deaths post vaccine. IOW the vax induces mortal suffering, as intended.",0,0,0,North America,1.61E+18,2022,
2022-12-28 16:13:11 Iran Standard Time,USER_00078,NAME_00078,"Duke is refusing this girl a kidney because she doesn't and won't take the ""COVID vaccine"". Let's make it go viral.  Kidney for Yulia  https://t.co/BnWs8idziv",0,0,0,North America,1.61E+18,2022,
2022-12-28 14:59:19 Iran Standard Time,USER_00079,NAME_00079,Parents Sue Duke Hospital for Denying Kidney Transplant to 14-Year-Old Girl Who Refused COVID Vaccine -  https://t.co/77HafJJJLR  https://t.co/btsYWKnxT8,0,0,0,North America,1.61E+18,2022,
2022-12-28 08:00:27 Iran Standard Time,USER_00080,NAME_00080,Parents Sue Duke Hospital for Denying Kidney Transplant to 14-Year-Old Girl Who Refused COVID Vaccine -  https://t.co/bYjfwqzRLH  https://t.co/zn0RM6xV99,1,3,11,North America,1.61E+18,2022,
2022-12-28 06:19:48 Iran Standard Time,USER_00081,NAME_00081,@Username @Username @Username @Username @Username What facts do you have to discredit someone’s testimony? We know people who are vaccinated have died. We know vaccines don’t prevent Covid. We know Remdesvir shuts down kidneys. We know ivermectin has helped prevent people from getting Covid. It’s between you &amp; your Dr.,2,0,1,North America,1.61E+18,2022,
2022-12-28 03:29:00 Iran Standard Time,USER_00082,NAME_00082,Parents Sue Duke Hospital for Denying Kidney Transplant to 14-Year-Old Girl Who Refused COVID Vaccine -  https://t.co/n0J0Pok2sx  https://t.co/SxQAtq3ZSW,0,0,0,North America,1.61E+18,2022,
2022-12-28 00:00:47 Iran Standard Time,USER_00083,NAME_00083,I won’t be on Twitter as much for about a week.  I’m pretty sick.  My sinuses and kidneys are infected again.  Long haul Covid is the worst.  Please wear your mask and get the vaccines.  Stay alive and Resist.  Love you more❤️❤️,158,127,877,North America,1.61E+18,2022,
2022-12-27 21:21:32 Iran Standard Time,USER_00084,NAME_00084,Parents Sue Duke Hospital for Denying Kidney Transplant to 14-Year-Old Girl Who Refused COVID Vaccine -  https://t.co/X7SeN94Wqy  https://t.co/WYMAypb3oD,0,0,0,North America,1.61E+18,2022,
