tweet,label,Stance_number
"No freaking way! More than a quarter million Americans have died of Covid19, 90,000 are now hospitalized and millions are infected because of this administration’s mismanagement of the pandemic. Now they want to name the vaccine after him to reward him? Really?!?! https://t.co/messkYNv2M",Neutral,2
"Posted withregram • whitehouse ""Today, my Administration reached a historic agreement with Pfizer, to produce and deliver 100 million doses of their vaccine immediately following its approval."" https://t.co/5SfW6Tqrtr",ProVax,1
"Biden urges taking coronavirus vaccine, wearing masks but says they shouldn’t be mandatory https://t.co/ITMywp1d3T #FoxNews",Neutral,2
Shark Liver Squalene In The New COVID Vaccine & Gulf War Syndrome Connec... https://t.co/rBhCvrucAn via @user,AntiVax,0
"The coronavirus is completely different from the influenza virus, and developing a vaccine requires substantial understanding of how the virus behaves. https://t.co/Pl5xMCik6J https://t.co/azhRAEF1FB",Neutral,2
@user I'm not getting any vaccine for Covid. 99% survival rate. Just give me HCQ,AntiVax,0
"@user It has been increased $100 million, and $440 million to NIAID.",Neutral,2
Finally a fuckn vaccine for covid-19,ProVax,1
Give me that Oxford one. It’s the chocolate chip of vaccines. https://t.co/F5ehSaq28X,ProVax,1
"In light of good news on the COVID-19 vaccine, I wanted to take a moment to recognize the immigrants behind this effort. You can read about the stories of Özlem Türeci and Uğur Şahin of @user here: https://t.co/XbUpk0e1Nq",Neutral,2
"@user So, you think that investing in a vaccine that might prevent, statistically as of today, 7.8 million deaths is not necessary? Should we call it ignorance, selfishness or just plain stupidity?",ProVax,1
Moderna's COVID-19 vaccine has reached distribution centers https://t.co/UNrbgduv9u https://t.co/IKSLfWgKKO,ProVax,1
"Thoughts with the teams at the MHRA & AZ/Oxford who are reviewing / submitting data for the “Oxford Vaccine”. All team members will be aware of the need for this vaccine, whilst having to stick rigidly to processes & go / no go criteria #oxfordvaccine #AstraZeneca #coronavirusuk",ProVax,1
@user It was 100% effective for one of the COVID-19 vaccine trial volunteers: he died https://t.co/3ABmdERAjs,ProVax,1
"My dad works for a small company that manufactures safety goggles and gloves. I walked in today to start administering COVID-19 vaccines, and look whose glasses were provided to me by my institution?! 1/5 https://t.co/lS9e6wcgDe",Neutral,2
"A Double-Dose Of Good News! MORE, MORE, MORE!!!! Let's Hope! #Cruise #CruiseIndustry #cruiselife #cruiselines #cruiselovers #cruisenews #Cruises #cruiseships #news #CDC #COVID19 #vaccine #Pfizer #PfizerVaccine #StockMarket #tourism #Travel #Vacation #Vacations #wanderlust #Hope",ProVax,1
"@user And we need rapid, home, frequent antigen testing. To use as a bridge to get us from now to the other side of the vaccine and beyond if necessary. @user DPA @user @user #coronavirus #COVID19 @user",ProVax,1
Pfizer says early data shows COVID-19 vaccine is effective https://t.co/9OQ6XRp2cc,Neutral,2
"From Kalamazoo to Connecticut, here’s how the COVID vaccines will travel in the next week and who will have them first via @user https://t.co/6hZiuUdJSn",ProVax,1
"Yiiiiiikes. Please get vaccinated, folks! https://t.co/b7hlFWHCu8",ProVax,1
I heard a good news that scientists are finally successfully tested COVID-19 vaccine which is 90% effective. When this will be easily available in all medical stores around the world. #CovidVaccine #COVID19 #Covid_19 #كرونا,ProVax,1
"Starting to think #TrumpLiesPeopleDie and his arse kissing crew #PenceUnmasked, #MoscowMitch, & @user have a #COVID__19 vaccine just for them.",Neutral,2
Draft statement: #G20 leaders promise to pay for fair distribution of #coronavirus_vaccines https://t.co/803ern8x1j,Neutral,2
@user World Economic Forum CommonPass Digital Health Passport (store COVID19 test results & vaccination records) Airline alliances involved (60% of world's airline capacity): ✈️ oneworld ✈️ SkyTeam ✈️ Star Alliance https://t.co/pB8UUYo6TO https://t.co/DssTQZjNrX,Neutral,2
Coronavirus Questions UK: Will there be a vaccine by Christmas? https://t.co/V7r7yXA1RA,Neutral,2
Trading volumes surge as COVID-19 vaccine hopes spark rush to invest #Trading https://t.co/Zjk44XQIan,Neutral,2
"""Oxford University coronavirus vaccine shows positive signs in monkeys, human trials progress""... 😮",ProVax,1
"@user I am not ignorant to the impact of Covid-19, a ""novel"" Coronavirus. MERs and SARs are also Coronavirus. This vaccine does not protect against them. There could be any number of novel new Coronaviruses. Chasing them with vaccines seems dubious I'll take a gas mask instead.",AntiVax,0
More information for GP practice groups sites beginning #CovidVaccines next week – information to support you to stand up your vaccination service https://t.co/i0UuxugTRV,Neutral,2
Here’s a reminder to fact-check what you read on Twitter. mRNA vaccines do not alter your DNA. Read more: https://t.co/k7DV78D0fa,ProVax,1
I get the optimisim however I'm still remaining skeptical as i know there are 2 big questions people are asking. Will it be safe and is it going to be mandatory #vaccine #COVID__19 #coronavirus https://t.co/jkS1goLZnN,ProVax,1
Hackers are going after COVID-19 vaccine's rollout https://t.co/ubuD79yKq2,Neutral,2
Pfizer to seek Covid-19 vaccine approval 'within days' as trial shows 95 percent efficacy https://t.co/7alGkKsMzA via @user,Neutral,2
Trump takes another vaccine victory lap as US COVID-19 cases rise https://t.co/ut2BiaFpoz via @user,ProVax,1
The National Intellectual Property Administration reportedly approved the first domestic patent for a vaccine against COVID-19 Inching closer to a much-awaited vaccine https://t.co/iTMCNXnBAl https://t.co/u3O4HFL2ME,ProVax,1
"Finally the Covid-19 Vaccine is here 🙏🏻💊 LIKE, SHARE AND SUBSCRIBE ❣️🙏💝 https://t.co/Qq99YWprTV",ProVax,1
@user Smallpox vaccine: Developed in the 1700s using the milder cowpox virus; by 1900s using killed or weakened smallpox virus to activate immunity COVID vaccine: Literally 9 months in development and 2 weeks on the market; uses mRNA to change human immune cell DNA directly,Neutral,2
"Let's assume the population of my county, all 1.1 million people, get exposed to COVID. At a 1% death rate (which is not accurate) & no vaccine, that means 11,000 people die, with many more long-term effects. A 95% efficacy vaccine drops that number from 11,000 to just 550. 🤡",ProVax,1
Well this year has one positive outcome. At least now I know the drug company is called Pfizer and not Pfitzer. So there’s that vaguest atom of light.,Neutral,2
"Dr Ron Paul on COVID 19 Vaccines, Government Overreaction & The Importa... https://t.co/X6IHAULug6 via @user",AntiVax,0
"@user No, it’s as low as in December, you know, before COVID was here according to you guys. So what the hell are you doing? Why are businesses and people continuing to suffer? Shutting down until a vaccine was not what we agreed to. This is criminal.",Neutral,2
Great point. We are learning a lot about the long-term effects of naturally acquired COVID. They're not good. We'll have enough evidence from tens of thousands in trials to be able to say that a vaccine is a much safer bet. https://t.co/PQAQ94yTeG,ProVax,1
"As markets rallied after the news of a potential COVID vaccine on Monday, whilst lockdown continues in England. What are tipsters backing this week? Here’s the top ‘Buy’ tip from the last 7 days… https://t.co/HJAEeDhHBn",Neutral,2
"@user maybe, our LINE will be relocated when there is already an antidote to this COVID-19. i'll be happy if there's a vaccine for it, but I'm afraid if our request would take that long.",ProVax,1
"US election, Bolivia election, covid vaccine, Cummings out ... all the good news of the last few weeks is discombobulating.",Neutral,2
"@user Great news... This not so much, Wancock, you absolute melt... https://t.co/QQePHRb12W",Neutral,2
"Billionaire CEO Stephané Bancel, of Cambridge, Massachusetts biotech Moderna Therapeutics, says his company’s vaccine could be available to medical workers as early as this fall https://t.co/DyvHkUATBa https://t.co/VgnEWgSlim",ProVax,1
This has only just been announced and I’ve already seen multiple people claiming they won’t take it and making fun of the “non-woke” people who are looking forward to a vaccine. https://t.co/vhRafjQWjD,ProVax,1
Fauci: Coronavirus won't be a pandemic for 'a lot longer' thanks to vaccines https://t.co/yLA2h7gbmJ They should fire you,ProVax,1
Ahh I will ALWAYS welcome more good news at this point 😭 worth the read! 4 more encouraging things re: Pfizer's #COVID19 vaccine 1️⃣ probably got the right target! 2️⃣ evidence for mRNA vaccines! 3️⃣ confidence in a COVID vaccine! 4️⃣ good news for Pfizer in particular! https://t.co/B1p9Fv1hTj,ProVax,1
"Can we stop talking about Covid and Vaccines? There's a 99% chance you'll survive! We are losing our country and without it, nothing else matters! damn... 🇺🇸",AntiVax,0
"@user https://t.co/4frdT5vI1K ""Covid-19 is not the flu. We have a vaccine for the flu. We have anti-viral medications designed to treat the flu. Doctors have experience treating it, and tests to help diagnose it, right there in the office.Against the new disease, we have none of this.""",ProVax,1
@user We need to be giving out the Covid vaccine at Taco Bell hours. If I can get a 7-Layer Gordita with Fire Sauce at midnight then I for sure can get a jab in the arm. @user,ProVax,1
"Adam Schiff Some good news to start your week: Pfizer's COVID-19 vaccine may be more than 90% effective. There’s light at the end of the tunnel, but the virus is still spreading. As scientists continue to work on a vaccine, we all have to do our part. Wear a mask. Be safe.",ProVax,1
[NEW POST] COVID-19 Vaccine Warnings Women Should Not Get Pregnant for at least 2 months after Vaccination - The government has said that women should avoid becoming pregnant until at least two months after being vaccinated against Covid-19. https://t.co/QFB6iOCGv7 https://t.co/jZFtcpocAu,AntiVax,0
I just want to see Laverne and Shirly put a glove on the little bottles of Covid-19 vaccine as they roll down the conveyer belt.,Neutral,2
I will not take this vaccine unless Dr. Fauci takes it and gets covid. https://t.co/IEvYG9bMK9,AntiVax,0
"Unverified!!! The entire #humanity remains uncertain about this. Let's get official statement from @user . @user health ministry has given regulatory approval for the world's first #coronavirus #vaccine, developed by Moscow's Gamaleya Institute. #RussianVaccine",Neutral,2
"Modi ji I want to become a citizen of Bihar, I have heard that there will be free corona vaccine.#BiharElections2020 https://t.co/LWfJzsFZX5",ProVax,1
They just announced over the intercom that there are two spots open for Covid vaccine. First come first served ... 😐,ProVax,1
"AstraZeneca said Monday that late-stage trials showed its coronavirus vaccine was up to 90% effective, giving public health officials hope they may soon have access to a vaccine that is cheaper and easier to distribute than some of its rivals. https://t.co/3DwQDSwgGF",ProVax,1
"12 Pharmaceutical companies have partnered up with the NIH to speed COVID-19 vaccine research and treatment options to ""bring the full power of the biomedical research enterprise to bear on this crisis"". https://t.co/gM7PDUOVV2 https://t.co/hjFSdaY9p2",ProVax,1
"""UK approves Pfizer/BioNTech COVID-19 vaccine and could begin vaccinations next week"" https://t.co/bpOzYNwQ8q",Neutral,2
The man who took no effort to eradicate this virus will now take 100% credit for developing a vaccine. #Pfizer #COVID19,Neutral,2
"@user I’m a physician and here’s the simple truth: No vaccine is guaranteed 100% safe, but the chances of a negative outcome from the vaccine are likely far lower and with less serious consequences than those of a COVID-19 infection. #VaccinateMe",ProVax,1
CSC news: Cuba leads race for Latin American coronavirus vaccine https://t.co/tI1fjYgBC5++,Neutral,2
"I am beyond grateful for the hardworking, brilliant people who are developing vaccines for this pandemic. As the general public, we all must do our part by staying home as much as possible, wearing masks and washing our hands. #COVID19 #CovidVaccine",ProVax,1
@user Like maybe one that facilitates the fast development of a vaccine for covid.,ProVax,1
Every Indian is anxiously waiting for corona vaccine to come up in market only not to confine at home. #coronavirus,ProVax,1
This is such good news on so many levels!!! #vaccine https://t.co/mAAE1Whaoy,ProVax,1
Pfizer's coronavirus vaccine is FDA-authorized. How the supply chain has been preparing for this moment. https://t.co/aekCE2eUXb https://t.co/CUA3ixB7Nb,ProVax,1
"Wowza, scary. TLDR: Denmark is killing 17 million (!) minks because the Covid virus has mutated in them, creating a strain that vaccines currently being developed wouldn't be able to stop https://t.co/5YgPRqS7vE",Neutral,2
@user Time to wear mask shall be over soon. Pfizer has best shot at Vaccine. https://t.co/Zd3epklUzX,ProVax,1
"@user It's the discussion in response to a petition ""Prevent any restrictions on those who refuse a covid-19 vaccination"". That's all it is.",Neutral,2
Boris Johnson: Prioritise people with a learning disability to be vaccinated against COVID-19 - Sign the Petition! https://t.co/OAJaxggMsL via @user,ProVax,1
"Although it didn't look like it at first, it seems that novel mRNA vaccines could get us out of the COVID-19 problem; the conventional ones lag behind. COVID-19 and mRNA Vaccines—First Large Test for a New Approach https://t.co/MMHWcQBeio via @user part of @user",ProVax,1
"Covid-19 vaccine more than 90% effective in preventing disease in preliminary results, says drugs firm Pfizer",Neutral,2
‼Tune in now to the Operation Warp Speed Summit to learn more about #COVID19 vaccine development and deployment plans.💉 https://t.co/stF2uSQ87q,Neutral,2
Thank you @user although I won't take a vaccine for a 99% curable virus. But many will. So thank you not @user https://t.co/mBH5ZB38m3,AntiVax,0
@user No praising necessary RE vaccine. Coronavirus mutation found in mink farms in Denmark & Utah. Mutated virus could spread into man & evade a vaccine response designed for the original non-mutated version. https://t.co/lTXbWxKSkQ,Neutral,2
Vaccination cards will be issued to everyone getting Covid-19 vaccine https://t.co/q9UrdNcLRV,Neutral,2
People freaking out about the covid vaccine side effects have clearly never had a flu shot. 🙄,ProVax,1
@user Good news about a potential #vaccine. Now advise your father to give a concession speech today. #CovidVaccine #Corona #COVID19 #TrumpConcede #BidenTransition,ProVax,1
"Pfizer says Covid-19 vaccine trial complete, cites shot is 95 per cent effective https://t.co/9oZKYZuUhq",Neutral,2
Rate of recovery from COVID19 is 99.9% why would anyone use a vaccine with a 90% effectiveness rate? https://t.co/1CevQePdn9,AntiVax,0
So if you have already had covid does that mean you are exempt from the vaccine?,Neutral,2
@user No thanks. How can you trust there's no long term side effects when the vaccine has only been around for a few months? Why do the vaccine companies need indemnity from prosecution if they think their vaccine is safe? When has there ever been a successful coronavirus vaccine?,AntiVax,0
"Another Tincture just announced. This time by Moderna, 2,194% effective. For those super “historians”, pretty please hold in your heart that these super discoveries, which will start the Friends Plague, some took place on my observe! @user",AntiVax,0
"For the nerd in me, watching the world invent a vaccine quickly is so fucking cool https://t.co/XTvSatmDIZ",ProVax,1
"Health care workers and nursing home residents should be at the front of the line when the first coronavirus vaccine shots become available, a government advisory panel said Tuesday. Here's the latest virus news. https://t.co/B0QAWqWxgU",Neutral,2
I will NOT take this vaccine. https://t.co/dO6dbNl4bx,AntiVax,0
"Watching now, Trump blames Cuomo for FDA approval for Covid Vaccine. Trump claims 85% mortality rate drop from antibody vaccine, claims we have lowest mortality rate in any country.",Neutral,2
"12.126 new COVID-19 infections registered in Russia last Friday. Sputnik so called ""Russian vaccine"" is a FAKE. #COVID19 #coronavirus #SputnikV #russianvaccine #Putin #Russia",AntiVax,0
"4...But, our local scientists should, where are our think tanks privately funding research? Where is the data that we will stand on to say Africans do not need the COVID-19 vaccine that will be forced on all travellers in the coming days? What if the vaccine messes up our...",AntiVax,0
Covid-19 vaccines are coming. @user answers @user viewer questions. #ottnews #COVID19 https://t.co/O6y85DS8mb,Neutral,2
"@user That’s not true. The oxford professor states there are a few strains but essential it is not mutating and they seem confident a vaccine can cover it. The difference in the strains is minuscule as to be ignored, essentially it’s the same virus.",ProVax,1
"@user But he literally had nothing to do with it. It was all Pfizer. They were not part of Operation Warp Speed, and damn you, who ever came up with that asinine name!",ProVax,1
"#COVID19 vaccine: First 'milestone' vaccine offers 90% protection. I’m hoping all the far right #brexit, anti vaxxers and #covid deniers are refused the vaccine. https://t.co/iCEEz7yK0f",ProVax,1
There are now new arrangements to ensure people who are shielding or self-isolating can get their prescriptions. @user @user https://t.co/Izmzs26BfA https://t.co/r4wZVdLeOv,Neutral,2
"Insulin affordability is NOT mentioned once in the 7th annual ""Diabetes Solvable Problems 2020"" panel from @user can't make this up. Unrelated this publication is sponsored by Lilly, Novo, and Sanofi.",Neutral,2
AS YOU LIKE IT Simple advice if you are working from home. SIT-STAND-STRETCH-MOVE-REPEAT. Change position every 30mins. Prolonged static postures cause your tissues to creep. Check out https://t.co/w1wEzJotn5 #Warwickshire #stevediamond #Apple #billgates #vaccine #COVID19 #COVID https://t.co/s1G3Emm3rk,Neutral,2
Biden's COVID advisor is saying that people older than 75 should get vaccines last. WTH https://t.co/yGyiOs1C1T,Neutral,2
If a COVID-19 vaccine is effective it will be only because the Lord allowed it to be effective.,Neutral,2
"@user Given that we know Florida is fudging / not reporting covid deaths, I'm not confident we'd get legit reports of vaccine effectiveness or side effects.",AntiVax,0
As long as you don't mandate it I don't care what vaccines you have. You know #Covid19 was used to create nasty DNA altering vaccines and that you did this to beat those dangerous vaccines. https://t.co/D2HWuNbPO7,AntiVax,0
Corona virus there's 40billion please go away Donald J Trump Seriously has he the vaccine The trumps make billions as people die on the streets,ProVax,1
COVID Vaccine: The Hyderabad-based company said that human trials of Covaxin will start at Institute of Medical Sciences and SUM Hospital in Bhubaneswar soon. #IndiaFightsCorona #OdishaFightsCorona #COVAXIN #CovidVaccine,ProVax,1
Moderna announces longer shelf life for its COVID-19 vaccine candidate at refrigerated temperatures https://t.co/a7XuWdstRJ,Neutral,2
2nd promising COVID-19 vaccine candidate announced as Canada approaches 300k cases https://t.co/FxcEAqICvL via @user,ProVax,1
"'Life back to normal by spring after vaccine discovery', expert says https://t.co/yCA4ixhjVp #covid19",Neutral,2
@user I'm 69 and I havent had a flu vaccine in 15 years. Someone prove to me a covid vaccine is safe and effective.,AntiVax,0
Where things stand right now with COVID-19 treatments and vaccines https://t.co/ubJLpbyqg9 https://t.co/uIsLHikcIk,Neutral,2
"Okay so if Trump tested negative today that means he either did not have Covid at all or there really is a vaccine that they’re hiding from us. Either way it go, we aren’t being told the truth.",Neutral,2
Moderna vaccine is found highly effective at preventing COVID-19 https://t.co/9OttYF5FFk https://t.co/EUfCPJ9N20,ProVax,1
Thank you to all community pharmacy teams for your incredible effort in delivering the important protection of a flu vaccine to so many people. Very proud of your achievements and we hope pharmacists will also have a role to play in delivering a COVID-19 vaccine in due course https://t.co/sCOaC3oapz,ProVax,1
@user Who is guiding / advising this leader? Covid19 ia in the hands of citizens (for using SMS) and district level administration. Centre can do very little now (till vaccine comes). GDP is a direct reflection of pandemic times and already large number of sectors are back to normal.,Neutral,2
@user Yep. Understandable. The COVID vaccine is an RNA vaccine. The big deal about 5% error is that an RNA vaccine can change your DNA. An RNA vaccine has never been tested on humans before. That’s why adverse reactions are so nerve wracking. Hopefully that helps (from my POV).,AntiVax,0
👏🏻 UK approves the Pfizer/BioNTech COVID-19 vaccine for widespread use and could begin vaccinations next week https://t.co/Pu1ODtB1Qi,ProVax,1
Finally some great news about the #COVID19 vaccine field. The Pfizer vaccine is more than 90% effective. They only needed to show >50% for licensing. Let's hope that the other vaccines are as effective and that the immunity lasts for a significant time. https://t.co/ReRiyme50r,ProVax,1
You literally encouraged the nation to not take a vaccine if it came out under the Trump administration and you two helped enable “systemic racism.” Wtf https://t.co/ns2mEa4odR,Neutral,2
"@user 7) I won’t know what else is in the vaccine. What adjuvants and preservatives are there that could do harm 8) I don’t want manipulated dna of dog, monkey or aborted foetus’ in me 9) there has never been a successful coronavirus vaccine despite 20+ yrs of trying",AntiVax,0
I don't care what folks and Karens & Kens say about the Vaccine..I'M GETTING IT This COVID been outta control,ProVax,1
"@user It's a guaranteed sale. Even if they didn't take money for R&D, sales pays for R&D. That wasn't my point though. I was just pointing out that in a press release Pfizer informed investors/the public that they were part of Operation Warp Speed. Their own words.",Neutral,2
"""the #vaccine has a 90% success rate."" ??? 🤣 All we know about it is over 50 have died from it so far and many more injured with a toxic 💩💉 for a never proven ""virus"" being tested for with a ""test"" we know doesn't work. Big scam of all time. #COVID19 #coronavirus #Psyop https://t.co/NymQMIHXLM",AntiVax,0
Deploying COVID-19 vaccines will be an unprecedented administrative and logistical challenge once it is available. Researchers at @user propose a plan to vaccinate 80% of India's population by Dec 2021. https://t.co/y8xcjsq3jx https://t.co/AVZJGkB9gf,Neutral,2
What to know about the to start with productive coronavirus vaccine from Pfizer,Neutral,2
@user You are assuming that healthcare workers want to take a covid-19 vaccine. There may be a pushback with that mandate. The only thing that changed with these vaccines is the PRESIDENT of the USA. Vaccines should not be the ONLY option in the USA!,AntiVax,0
Fuck that Hoe Ass #COVID19 vaccine! Buy #Bitcoin,AntiVax,0
"@user Uniter Pfizer didn’t join Operation Warp Speed @user must sign off on transition to Joe Biden and Kamala Harris, so that we can get our infrastructure ready to handle their super-cooled vaccine. Otherwise rural counties will suffer more. #EmilyDoYourJob #TransitionToBiden",ProVax,1
Pfizer claims its Covid-19 vaccine is 90 percent effective so far. Here’s what we actually know. https://t.co/ytol2woVQp via @user,Neutral,2
"mybargain Morning Digest: Health Ministry to track COVID-19 vaccine reactions; T.N., Puducherry on edge as cyclone Nivar closes in, and more https://t.co/BsdRMBoQCM https://t.co/G1GYj3jaOv",Neutral,2
"A week after Pfizer released it preliminary data showing their Covid19 vaccine to be 90% effective, Moderna has released preliminary data of their own showing their vaccine to be 94.5% effective. This is incredible news if these findings stand. https://t.co/A48EA7O8ju",ProVax,1
@user The main problem is... what will be the next pandemic coming out of China when Covid is over? Why hasn’t the world band together to go after China? How many vaccines are we going to need in the future?,Neutral,2
"This could be huge -- Covid-19 vaccine candidate is 90% effective, says manufacturer https://t.co/WZggGGT92h",ProVax,1
He says Africa in the 90s lost 12M people to HIV/AIDS as we waited for our allocation of ARVs. We can't afford such losses to COVID-19. Equitable distribution of the vaccine is a right.,ProVax,1
"Why is it so complicated? The vaccine should go to whichever group would help to facilitate the decrease of the overall number of deaths. EZ. If that means giving it to people who are less likely to die from covid but more likely to spread, then so be it...",ProVax,1
Wonder what Javanka's cut is: U.S. Will Pay $1.6 Billion to Novavax for Coronavirus Vaccine. https://t.co/ubbpiT7pz1,Neutral,2
Yeah. The biggest hurdle being that the vaccine rollout will be run by the spouse of an MP who couldn't run a fucking bath. https://t.co/Z012Y08Exq,AntiVax,0
"@user #Hungary is wellcoming the Russian and Chineas vaccines for the earliest mass vaccination of ppl and meanwhile is waiting vaccins from USA, UK and other countries! #COVID19 pandemy & fight against the virus are independents from politics & from #EU! https://t.co/RKA8LDgcQx",ProVax,1
Not y’all acting like you’re gonna get dragged away and killed if you don’t take the covid vaccine when it’s literally OPTIONAL 😭 you’re not forced to be vaccinated BUT vaccines are for the betterment of society!!!,ProVax,1
I’ve got my fingers crossed that enough vaccines can get out by June that my birth is shrouded by COVID. But I know a lot of ladies in my area have said the only different is a COVID at triage and masks for support person. Laboring person doesn’t have to wear one of negative.,ProVax,1
"Now on @user breaks down how NIH got a Covid-19 vaccine candidate to clinical trials in a record 66 days. But scientists say this could have been faster if we hadn't dropped the ball on SARS, MERS research when those outbreaks waned. https://t.co/bsJoEsKIt0",ProVax,1
ALL vaccines are damaging to your immune system- why can't people understand this? Let YOUR OWN system handle nature- STOP poisoning yourself. https://t.co/9z18RW4Q3z,AntiVax,0
"@user Lol lol.... has nothing to do with Biden, lol lol. President Trumps economy has been fantastic (minus covid), it’s his policies and ....the vaccine created in record time. Lol what has Biden done that would make anyone think the market increased due to Biden....lol lol https://t.co/dqtj7sW0Yd",Neutral,2
Air France KLM Martinair Cargo ready to transport COVID-19 vaccines https://t.co/wEggJdtqVl,Neutral,2
"As a medical professional, do you feel dumb saying you won’t get a covid vaccine Bc you still get the flu when you get the flu shot? Or do you feel super proud? Genuine question.",ProVax,1
If anyone invests in stocks buy into moderna u won’t regret it,Neutral,2
How do each of the leading COVID-19 vaccines differ? https://t.co/71vEcJ1Mij,Neutral,2
